Idx,Company,Currency,Exchange,Right,Strike,Multiplier,Expiration Date
11,EBS,USD,SMART,PUT,40,100,20220617
12,STNE,USD,SMART,PUT,11,100,20220715
13,SE,USD,SMART,PUT,120,100,20220617
14,FB,USD,SMART,PUT,300,100,20230120
15,FB,USD,SMART,PUT,280,100,20220916
16,NFLX,USD,SMART,PUT,175,100,20230317
17,TME,USD,SMART,PUT,5,100,20220715
22,AMD,USD,SMART,PUT,75,100,20230421
23,MSFT,USD,SMART,PUT,210,100,20230317
24,ADSK,USD,SMART,PUT,170,100,20230120
25,ANSS,USD,SMART,PUT,200,100,20230120
26,NVDA,USD,SMART,PUT,175,100,20230317
27,NVDA,USD,SMART,PUT,155,100,20230616
28,FSM,USD,SMART,PUT,4,100,20220617
29,INTC,USD,SMART,PUT,42.5,100,20221021
30,TSM,USD,SMART,PUT,90,100,20230120
31,TSM,USD,SMART,PUT,75,100,20230120
32,STNE,USD,SMART,PUT,10,100,20230120
33,EPD,USD,SMART,PUT,25,100,20220916
34,URA,USD,SMART,PUT,22,100,20220617
35,URA,USD,SMART,PUT,20,100,20220617
36,SIL,USD,SMART,PUT,30,100,20220617
37,SLV,USD,SMART,PUT,21,100,20220617
38,SLV,USD,SMART,PUT,20,100,20220617
39,GDX,USD,SMART,PUT,31,100,20220617
40,GDX,USD,SMART,PUT,31,100,20220701
41,GDX,USD,SMART,PUT,31,100,20220715
42,GDXJ,USD,SMART,PUT,39,100,20220715
43,RIO,USD,SMART,PUT,64.38,100,20221021
44,RIO,USD,SMART,PUT,69.39,100,20220715
45,GLD,USD,SMART,PUT,170,100,20220617
46,GLD,USD,SMART,PUT,170,100,20220617
47,CSCO,USD,SMART,PUT,35,100,20230616
48,CHKP,USD,SMART,PUT,120,100,20230120
49,CMCL,USD,SMART,PUT,12.5,100,20220715
50,VALE,USD,SMART,PUT,18,100,20220722
52,GRMN,USD,SMART,PUT,80,100,20230120
53,TGT,USD,SMART,PUT,140,100,20230120
54,MMM,USD,SMART,PUT,125,100,20231018
71,TER,USD,SMART,CALL,110,100,20220617
